-7399,4075,6
-7399,4075,7
-7399,4075,5
-7398,4075,6
-7399,4075,14
-7399,4075,20
-7399,4075,28
-7399,4075,13
-7398,4075,7
-7398,4075,5
-7399,4075,21
-7399,4075,19
-7399,4075,15
-7398,4076,6
-7399,4074,6
-7398,4075,14
-7399,4075,8
-7399,4074,7
-7398,4075,20
-7398,4075,13
-7399,4075,4
-7399,4075,27
-7398,4075,28
-7399,4074,14
-7399,4075,29
-7398,4076,5
-7398,4076,7
-7399,4075,12
-7399,4074,5
-7398,4075,19
-7398,4075,21
-7399,4074,28
-7399,4074,15
-7398,4076,14
-7398,4076,20
-7399,4074,13
-7398,4076,13
-7399,4074,8
-7398,4075,15
-7399,4074,20
-7398,4075,8
-7398,4075,27
-7399,4074,21
-7399,4075,18
-7398,4076,28
-7398,4075,12
-7398,4076,19
-7399,4074,29
-7399,4075,2
-7399,4075,16
