-7399,4075,6,78.85771333089762
-7399,4075,7,76.86967117440898
-7399,4075,5,76.7503722465416
-7398,4075,6,75.30566632968717
-7399,4075,14,75.11325752048069
-7399,4075,20,74.09846503669702
-7399,4075,28,73.92546109319176
-7399,4075,13,73.74138817699776
-7398,4075,7,73.25257687690429
-7398,4075,5,72.9692931684632
-7399,4075,21,72.80886139146857
-7399,4075,19,72.36227617237283
-7399,4075,15,72.17096059503683
-7398,4076,6,72.05056843529896
-7399,4074,6,71.87373818024697
-7398,4075,14,71.84025795421317
-7399,4075,8,71.74077385399845
-7399,4074,7,71.22476841112649
-7398,4075,20,71.02907990630852
-7398,4075,13,70.99792279799952
-7399,4075,4,70.78146288764222
-7399,4075,27,70.69058798840763
-7398,4075,28,70.34854306692762
-7399,4074,14,70.2632709810293
-7399,4075,29,70.22063493808012
-7398,4076,5,70.133039734457
-7398,4076,7,69.88391952196876
-7399,4075,12,69.79495777850752
-7399,4074,5,69.27143636652595
-7398,4075,19,69.09050649195962
-7398,4075,21,69.02559584964918
-7399,4074,28,68.95467243205105
-7399,4074,15,68.82799418905786
-7398,4076,14,68.43333748381045
-7398,4076,20,68.38714843728219
-7399,4074,13,68.30201300536767
-7398,4076,13,68.20020578742816
-7399,4074,8,68.19282647230234
-7398,4075,15,68.12613932820236
-7399,4074,20,67.81989775048095
-7398,4075,8,67.72260011400722
-7398,4075,27,67.68816331008674
-7399,4074,21,67.67039829219125
-7399,4075,18,67.46022446508927
-7398,4076,28,67.00707985477058
-7398,4075,12,66.8769852621821
-7398,4076,19,66.81576427743458
-7399,4074,29,66.77558800619401
-7399,4075,2,66.41687129868902
-7399,4075,16,66.2420908533942
