-7399,4075,19
-7399,4075,25
-7399,4075,26
-7399,4075,12
-7399,4075,6
-7399,4075,20
-7399,4075,13
-7399,4075,18
-7399,4075,24
-7398,4075,19
-7399,4075,27
-7398,4075,25
-7399,4074,19
-7399,4075,11
-7399,4074,6
-7399,4074,13
-7398,4075,26
-7399,4075,5
-7399,4074,20
-7398,4075,12
-7398,4075,18
-7399,4074,12
-7399,4074,26
-7398,4075,24
-7398,4075,6
-7398,4075,20
-7398,4075,13
-7399,4074,27
-7399,4075,14
-7399,4074,25
-7398,4076,19
-7398,4076,25
-7398,4075,11
-7399,4074,18
-7399,4075,4
-7399,4075,21
-7399,4075,23
-7399,4075,17
-7398,4075,27
-7399,4074,14
-7398,4076,26
-7398,4075,5
-7399,4075,10
-7400,4073,14
-7398,4076,24
-7399,4074,24
-7399,4074,5
-7399,4074,11
-7398,4076,18
-7398,4076,12
