-7399,4075,20
-7399,4075,19
-7399,4075,21
-7399,4075,6
-7399,4075,7
-7399,4075,14
-7398,4075,20
-7399,4074,21
-7399,4075,10
-7398,4075,19
-7399,4074,20
-7399,4075,12
-7399,4075,11
-7399,4075,25
-7399,4075,13
-7398,4075,21
-7399,4075,22
-7399,4074,19
-7400,4073,22
-7399,4074,14
-7399,4074,7
-7399,4075,24
-7398,4075,6
-7399,4075,5
-7399,4075,8
-7399,4075,23
-7399,4075,18
-7399,4074,22
-7399,4075,9
-7399,4074,6
-7398,4076,20
-7398,4075,14
-7398,4075,7
-7398,4076,19
-7399,4075,15
-7398,4075,12
-7399,4074,23
-7398,4075,25
-7400,4073,21
-7398,4075,13
-7400,4073,15
-7398,4075,11
-7400,4074,21
-7399,4074,8
-7399,4074,15
-7399,4074,10
-7400,4074,22
-7398,4076,21
-7399,4074,13
-7398,4075,10
